pick_tier,pick,player_name,School,G,GS,MP,FG,FGA,fg_pct,threep,threepa,threep_pct,twop,twopa,twop_pct,efg_pct,FT,FTA,ft_pct,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,years_played,Class,years_on_contract,rookie_salary,total_rookie_earnings,career_nba_earnings,division_level
Top 3,1,Yao Ming,Shanghai Sharks (China),,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3858240.00,15432960.00,93390336.00,International_Pro
Top 3,2,Jay Williams,Duke University,108,108,33.1,6.6,14.6,0.453,2.9,7.4,0.393,3.7,7.2,0.514,0.552,3.1,4.7,0.671,0.8,3.1,3.7,6,2.2,0.1,3.9,2.3,19.3,3,Junior,1,2756800.00,2756800.00,3000000.00,NCAA_D1
Top 3,3,Mike Dunleavy Jr.,Duke University,104,76,28.8,4.8,10.1,0.475,1.7,4.6,0.371,3.1,5.5,0.564,0.56,1.9,2.7,0.698,1.5,4.7,5.8,2.2,1.6,0.5,1.9,2,13.2,3,Junior,4,2475720.00,9902880.00,84278941.00,NCAA_D1
Lottery,4,Drew Gooden,University of Kansas,98,64,26.2,6.1,12.3,0.493,0.2,0.6,0.306,5.9,11.7,0.503,0.501,3.3,4.7,0.698,3,6.2,9.2,1.6,1.1,1.1,2.6,2.5,15.6,3,Unknown,4,2232000.00,8928000.00,75015681.00,NCAA_D1
Lottery,5,Nikoloz Tskitishvili,Benetton Treviso (Italy),,,,,,,,,,,,,,,,,,,,,,,,,,,Freshman,2,2035320.00,4070640.00,16074664.00,International_Pro
Lottery,6,Dajuan Wagner,University of Memphis,36,35,31.8,7.4,18,0.41,1.8,5.8,0.317,5.5,12.2,0.453,0.461,4.6,6.4,0.722,0.5,2,2.5,3.6,1.2,0.6,2.9,2.8,21.2,1,Unknown,3,1835880.00,5507640.00,7400000.00,NCAA_D1
Lottery,7,Nene Hilario,Vasco da Gama (Brazil),,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown,4,1744440.00,6977760.00,91450000.00,International_Pro
Lottery,8,Chris Wilcox,University of Maryland,70,27,16.6,3.2,6.2,0.52,0,0,0,3.2,6.1,0.522,0.52,1.5,2.6,0.589,1.8,3,4.7,1,0.5,1,1,2,7.9,,Unknown,4,1535400.00,6141600.00,38864580.00,NCAA_D1
Lottery,9,Amar'e Stoudemire,Cypress Creek High School (FL),,,,,,,,,,,,,,,,,,,,,,,,,,,Sophomore,4,1452960.00,5811840.00,167935964.00,High_School
Lottery,10,Caron Butler,University of Connecticut,63,62,34.5,6.4,13.8,0.465,0.7,1.9,0.364,5.7,11.9,0.482,0.491,4.5,5.9,0.768,3.3,4.3,7.6,3,2.1,0.3,2.7,2.4,18,2,Sophomore,4,1340700.00,5362800.00,85063515.00,NCAA_D1
Lottery,11,Jared Jeffries,Indiana University,70,70,32.6,5,11.2,0.45,0.6,1.7,0.325,4.5,9.5,0.472,0.475,3.8,5.8,0.643,2.4,4.8,7.2,2.2,1.2,1.3,2.9,2.7,14.4,2,Senior,4,1273680.00,5094720.00,40528625.00,NCAA_D1
Lottery,12,Melvin Ely,Fresno State University,124,92,32.5,6.4,11,0.577,0,0,0.333,6.4,11,0.578,0.578,3,4.6,0.648,2.8,4.6,7.5,1.1,0.8,2.9,2.4,2.8,15.7,4,Junior,3,1210320.00,3630960.00,13757494.00,NCAA_D1
Lottery,13,Marcus Haislip,University of Tennessee,89,25,17.1,3.1,5.9,0.53,0.4,1.1,0.373,2.7,4.7,0.568,0.566,1.7,2.5,0.705,1.2,2.2,3.4,0.5,0.3,1.3,1.1,2.4,8.4,3,Senior,2,1149480.00,2298960.00,6600000.00,NCAA_D1
Lottery,14,Fred Jones,University of Oregon,125,92,28.2,4.4,9.2,0.481,1.2,3.5,0.338,3.3,5.7,0.568,0.545,3.1,3.9,0.805,1.6,3.8,5,2.9,1.2,0.6,2.4,2.5,13.2,4,Unknown,4,1092000.00,4368000.00,10000000.00,NCAA_D1
1st Round,15,Bostjan Nachbar,Benetton Treviso (Italy),,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown,3,1037040.00,3111120.00,22153098.00,International_Pro
1st Round,16,Jiri Welsch,Union Olimpija (Slovenia),,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown,2,987960.00,1975920.00,7270000.00,International_Pro
1st Round,17,Juan Dixon,University of Maryland,141,107,28.4,5.7,12.1,0.468,1.7,4.4,0.389,4,7.8,0.513,0.538,3,3.6,0.85,1.6,3,4.2,2.6,2.4,0.2,2.5,2,16.1,,Junior,4,889560.00,3558240.00,12379358.00,NCAA_D1
1st Round,18,Curtis Borchardt,Stanford University,66,29,21.6,3.5,6.6,0.534,0.2,0.6,0.375,3.3,6,0.551,0.552,2.9,4.2,0.691,2.4,4.9,7.2,1.2,0.4,2.2,1.4,2.3,10.2,3,Senior,3,849360.00,2548080.00,4000000.00,NCAA_D1
1st Round,19,Ryan Humphrey,University of Notre Dame,123,114,28.8,5.3,10.6,0.495,0.1,0.2,0.364,5.2,10.5,0.497,0.498,2.7,5,0.536,3.4,6.8,8.4,1.3,0.9,2.3,2.2,2.9,13.3,4,Senior,2,815400.00,1630800.00,2000000.00,NCAA_D1
1st Round,20,Kareem Rush,University of Missouri,84,66,30.2,6.5,14.7,0.445,2.7,6.4,0.422,3.9,8.3,0.464,0.537,3.1,4,0.777,1.6,3.9,5.4,2.1,1.2,0.6,2.8,2.3,18.9,3,Junior,3,782760.00,2348280.00,9000000.00,NCAA_D1
1st Round,21,Qyntel Woods,Northeast Mississippi CC,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown,2,752160.00,1504320.00,6805297.00,NCAA_D1
1st Round,22,Casey Jacobsen,Stanford University,95,82,31.8,5.8,12.2,0.47,2.3,5.5,0.427,3.4,6.8,0.505,0.566,4.3,5.6,0.771,1.1,2.7,3.8,2.7,0.5,0.1,2,1.4,18.1,3,Junior,2,721560.00,1443120.00,5679242.00,JUCO
1st Round,23,Tayshaun Prince,University of Kentucky,95,82,31.8,5.8,12.2,0.47,2.3,5.5,0.427,3.4,6.8,0.505,0.566,4.3,5.6,0.771,1.1,2.7,3.8,2.7,0.5,0.1,2,1.4,18.1,4,Senior,4,691920.00,2767680.00,98852842.00,NCAA_D1
1st Round,24,Nenad Krstic,Partizan Belgrade (Serbia),,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown,4,669960.00,2679840.00,45500000.00,International_Pro
1st Round,25,Frank Williams,University of Illinois,101,97,31.7,4.6,11.7,0.396,1.3,4.1,0.326,3.3,7.6,0.433,0.453,3.7,4.6,0.807,0.7,3.2,4,4.3,2.1,0.3,2.7,1.8,14.3,3,Junior,2,664920.00,1329840.00,5000000.00,NCAA_D1
1st Round,26,John Salmons,University of Miami,124,107,30.8,3.6,7.7,0.466,0.7,2.2,0.321,2.9,5.5,0.523,0.511,2.5,3.1,0.805,2.1,3.9,5.5,3.5,1.5,0.7,2.6,2.5,10.4,4,Senior,4,642960.00,2571840.00,57002801.00,NCAA_D1
1st Round,27,Chris Jefferies,Fresno State University,88,75,28,4.4,10.1,0.436,1.4,4,0.338,3,6.1,0.5,0.503,2.8,4.5,0.628,1.2,4.1,4.8,1.8,1.1,1.2,2.4,2.3,12.9,3,Junior,2,631080.00,1262160.00,4000000.00,NCAA_D1
1st Round,28,Dan Dickau,Gonzaga University,97,67,25.5,3.9,8.7,0.451,2.2,4.8,0.462,1.7,3.9,0.436,0.578,3.3,3.8,0.854,0.5,2.2,2.4,3.7,0.7,0.1,2.6,1.8,13.3,4,Senior,3,620400.00,1861200.00,10000000.00,NCAA_D1
2nd Round,30,Steve Logan,Cincinnati,135,106,28.9,4.7,10.9,0.435,1.9,5.1,0.378,2.8,5.9,0.483,0.522,3.3,3.8,0.861,0.3,2.1,2.2,3.4,0.7,0,1.7,1.7,14.7,,,,,,,NCAA_D1
2nd Round,31,Roger Mason Jr.,University of Virginia,89,68,29.6,4.4,10,0.436,1.5,4.1,0.375,2.8,5.9,0.479,0.513,3.6,4.1,0.869,0.7,2.3,3,2.6,1,0.4,2.2,2.3,13.8,,,2,456613.50,913227.00,12600000.00,NCAA_D1
2nd Round,32,Robert Archibald,University of Illinois,130,61,16.2,2,3.5,0.57,0,0,0,2,3.5,0.571,0.57,2.2,3.2,0.681,1.8,2.7,4.1,0.8,0.5,0.6,1.6,3,6.2,,,2,349458.00,698916.00,698916.00,NCAA_D1
2nd Round,33,Vincent Yarbrough,University of Tennessee,127,125,30.4,4.8,11,0.44,1.4,4.1,0.34,3.4,6.8,0.5,0.504,2.6,3.8,0.687,2.3,5,6.8,2.3,1.7,1,2.2,1.9,13.7,,,1,349458.00,349458.00,349458.00,NCAA_D1
2nd Round,34,Dan Gadzuric,UCLA,122,102,24.1,4.5,8.2,0.548,0,0,0,4.5,8.2,0.549,0.548,1.6,3.5,0.449,2.9,4.9,7.3,0.6,0.7,1.5,1.8,2.8,10.5,,,,,,37609158.00,NCAA_D1
2nd Round,35,Carlos Boozer,Duke University,101,93,25.9,5.5,8.7,0.631,0,0,0,5.5,8.7,0.632,0.631,3.9,5.3,0.741,2.7,5,7.2,1.1,1,0.7,1.6,2.9,14.9,,,2,456613.50,913227.00,143475590.00,NCAA_D1
2nd Round,36,Milos Vujanic,Partizan Belgrade (Serbia),,,,,,,,,,,,,,,,,,,,,,,,International,,,,,,,,International_Pro
2nd Round,37,David Andersen,Virtus Bologna (Italy),,,,,,,,,,,,,,,,,,,,,,,,International,,,,,,,,International_Pro
2nd Round,38,Tito Maddox,Fresno State,25,24,32.3,4.4,11.2,0.391,0.8,2.8,0.286,3.6,8.4,0.427,0.427,3.9,5.5,0.703,1.2,4.5,5.8,8,1.6,0.2,5.2,2.7,13.5,,,1,349458.00,349458.00,349458.00,NCAA_D1
2nd Round,39,Rod Grizzard,University of Alabama,100,94,30.3,5,12.4,0.402,1.7,5.5,0.304,3.3,6.9,0.48,0.469,3.2,4.1,0.785,1.7,4.1,5.8,1.7,1.1,1,2.4,2.3,14.9,,,2,349458.00,698916.00,698916.00,NCAA_D1
2nd Round,40,Juan Carlos Navarro,FC Barcelona (Spain),,,,,,,,,,,,,,,,,,,,,,,,International,,,,,,,,International_Pro
2nd Round,41,Mario Kasun,Opel Skyliners (Germany),,,,,,,,,,,,,,,,,,,,,,,,International,,,,,,,,International_Pro
2nd Round,42,Ronald Murray,Shaw University,,,,,,,,,,,,,,,,,,,,,,,,D2,,,,2,349458.00,698916.00,14575091.00,NCAA_D2
2nd Round,43,Jason Jennings,Arkansas State University,119,75,19.4,3.7,6.8,0.545,0,0,0,3.7,6.8,0.545,0.545,1.9,2.6,0.714,2.4,4.4,4.7,0.6,0.3,2.2,1.5,2.3,9.3,,,,,,,NCAA_D1
2nd Round,44,Lonny Baxter,University of Maryland,138,115,24.4,8.4,15.3,0.553,0,0.1,0.6,8.4,15.2,0.553,0.554,5.1,8.5,0.6,4.1,7.7,11.8,1.1,1.4,2.7,2.7,4.8,22,,,1,349458.00,349458.00,2273860.00,NCAA_D1
2nd Round,45,Sam Clancy,University of Southern California,113,102,31.1,5.6,11.3,0.495,0,0,0.4,5.6,11.3,0.495,0.496,3.5,5.6,0.617,2.8,5.3,7.4,1.2,1.2,1.7,1.7,2.6,14.7,,,,,,,NCAA_D1
2nd Round,46,Matt Barnes,UCLA,121,66,22.6,3.3,7.1,0.469,0.5,1.6,0.314,2.8,5.5,0.514,0.505,1.7,2.9,0.566,1.7,3.7,4.8,2,1,0.4,2,2.2,8.8,,,,,,39211921.00,NCAA_D1
2nd Round,47,Jamal Sampson,University of California,32,31,24.9,2.4,5.7,0.426,0,0,0,2.4,5.7,0.426,0.426,1.6,3,0.526,2.5,4.1,6.5,1.2,0.5,1.7,1.7,2.7,6.4,,,1,349458.00,349458.00,3098887.00,NCAA_D1
2nd Round,48,Chris Owens,University of Texas,106,61,25,3.8,8.5,0.453,0.1,0.6,0.231,3.7,7.9,0.471,0.462,3,5,0.598,2.7,4.2,6.4,0.8,1,1.8,1.7,2.7,10.8,,,,,,,NCAA_D1
2nd Round,49,Peter Fehse,Halle (Germany),,,,,,,,,,,,,,,,,,,,,,,,International,,,,,,,,International_Pro
2nd Round,50,Darius Songaila,Wake Forest University,130,120,26.2,4.9,9.6,0.511,0.1,0.3,0.343,4.8,9.3,0.516,0.516,4.4,5.3,0.831,2,4.5,6.3,1.8,1.1,0.7,2.8,3.3,14.3,,,1,366931.00,366931.00,25337931.00,NCAA_D1
2nd Round,51,Federico Kammerichs,Ourense (Spain),,,,,,,,,,,,,,,,,,,,,,,,International,,,,,,,,International_Pro
2nd Round,52,Marcus Taylor,Michigan State University,59,38,28.1,4.2,10.6,0.399,1.3,4,0.335,2.9,6.6,0.437,0.462,2.2,2.8,0.795,0.3,1.7,2.1,4.4,0.7,0.1,2.6,1.7,12.1,,,,,,,NCAA_D1
2nd Round,53,Rasual Butler,La Salle University,110,108,38.3,6.8,16.7,0.409,2.6,7.1,0.359,4.3,9.6,0.447,0.486,3.1,3.7,0.829,1.9,4.5,5.9,1.6,1,1.1,2.7,1.9,19.3,,,2,456568.50,913137.00,25279576.00,International_Pro
2nd Round,54,Tamar Slay,Marshall University,114,102,28.8,5.5,12.4,0.443,2.2,5.7,0.386,3.3,6.7,0.491,0.531,2.5,3.4,0.749,1.1,3.4,4.4,2.2,1.2,0.5,2.4,2.7,15.7,,,2,349458.00,698916.00,1608183.00,International_Pro
2nd Round,55,Mladen Sekularac,FMP Železnik (Serbia),,,,,,,,,,,,,,,,,,,,,,,,International,,,,,,,,International_Pro
2nd Round,56,Luis Scola,TAU Ceramica (Spain),,,,,,,,,,,,,,,,,,,,,,,,International,,,,,,,,NCAA_D1
2nd Round,57,Randy Holcomb,San Diego State University,93,60,25.3,4.8,10.1,0.473,0.4,1.3,0.315,4.4,8.8,0.498,0.494,2.5,3.9,0.644,1.9,4.2,6.2,1.2,0.7,0.7,2.8,2.1,12.5,,,,,,,NCAA_D1
2nd Round,58,Corsley Edwards,Central Connecticut State Univ.,123,86,27.6,5.3,10.4,0.509,0,0,0,5.3,10.4,0.51,0.509,3.5,5,0.688,3.4,4.5,7.9,0.8,0.9,1.6,2.1,2.8,14.1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Top 3,1,Anthony Davis,Kentucky,40,40,32,5.3,8.4,0.623,0.1,0.5,0.15,5.2,7.9,0.653,0.628,3.6,5.1,0.709,3,7.4,10.4,1.3,1.4,4.7,1,2,14.2,1,Freshman,4,5799502.50,23198010.00,260000000.00,NCAA_D1
Top 3,2,Michael Kidd-Gilchrist,Kentucky,40,39,31.1,4,8.2,0.491,0.3,1.3,0.255,3.7,6.9,0.535,0.511,3.6,4.8,0.745,2.6,4.9,7.4,1.9,1,0.9,2.2,2.4,11.9,1,Freshman,4,5190000.00,20760000.00,63000000.00,NCAA_D1
Top 3,3,Bradley Beal,Florida,37,37,34.2,4.7,10.6,0.445,1.7,5,0.339,3,5.6,0.541,0.525,3.6,4.7,0.769,1.4,5.4,6.7,2.2,1.4,0.8,2.1,2.1,14.8,1,Freshman,4,4663128.50,18652514.00,280000000.00,NCAA_D1
Lottery,4,Dion Waiters,Syracuse,71,0,20.4,3.5,7.7,0.453,1,2.8,0.348,2.5,4.9,0.513,0.516,1.8,2.3,0.753,0.4,1.5,1.9,2,1.5,0.2,1.1,1.6,9.7,2,Sophomore,4,4205317.50,16821270.00,25000000.00,NCAA_D1
Lottery,5,Thomas Robinson,Kansas,105,42,18.7,3.8,7.2,0.525,0.1,0.1,0.5,3.7,7,0.525,0.529,2.2,3.6,0.606,2.1,5.2,7.3,1,0.6,0.7,1.6,2.1,9.8,3,Junior,3,3526480.00,10579440.00,17000000.00,NCAA_D1
Lottery,6,Damian Lillard,Weber State,104,98,32.3,5.6,12.6,0.446,2.4,6.1,0.39,3.3,6.5,0.497,0.54,5,5.8,0.867,0.4,3.9,4.3,3.5,1.2,0.2,2.4,2.1,18.6,4,Senior,3,2100000.00,6300000.00,450000000.00,NCAA_D1
Lottery,7,Harrison Barnes,North Carolina,75,73,29.3,5.8,13.6,0.43,1.5,4.4,0.349,4.3,9.1,0.469,0.487,3.1,4.3,0.734,2,3.5,5.5,1.3,0.9,0.4,1.9,1.9,16.3,2,Sophomore,4,2192970.00,8771880.00,190061316.00,NCAA_D1
Lottery,8,Terrence Ross,Washington,69,39,24.4,4.6,10.1,0.453,1.7,4.6,0.364,2.9,5.5,0.528,0.536,1.4,1.8,0.764,1.1,3.5,4.7,1.2,0.9,0.7,1.4,2.4,12.3,2,Sophomore,4,2897459.25,11589837.00,95000000.00,NCAA_D1
Lottery,9,Andre Drummond,Connecticut,34,30,28.4,4.6,8.6,0.538,0,0.1,0,4.6,8.5,0.541,0.538,0.8,2.6,0.295,3.4,4.2,7.6,0.4,0.8,2.7,1.5,2.2,10,1,Freshman,4,2664792.75,10659171.00,166667296.00,NCAA_D1
Lottery,10,Austin Rivers,Duke,34,33,33.2,5.1,11.8,0.433,1.7,4.7,0.365,3.4,7.1,0.477,0.505,3.6,5.4,0.658,0.6,2.8,3.4,2.1,1,0,2.3,2.2,15,1,Freshman,3,2339000.00,7017000.00,35000000.00,NCAA_D1
Lottery,11,Meyers Leonard,Illinois,65,30,19.8,3,5.4,0.567,0,0.2,0.083,3,5.2,0.585,0.569,1.6,2.2,0.729,1.3,3.4,4.7,0.7,0.3,1.1,1.4,2.2,7.7,2,Sophomore,4,2435000.00,9740000.00,80000000.00,NCAA_D1
Lottery,12,Jeremy Lamb,Connecticut,75,74,32.1,5.3,11,0.482,1.6,4.5,0.348,3.8,6.6,0.573,0.553,1.9,2.4,0.806,1.1,3.6,4.7,1.7,1,0.6,1.6,1.6,14.1,2,Sophomore,4,2342500.00,9370000.00,32000000.00,NCAA_D1
Lottery,13,Kendall Marshall,North Carolina,73,55,28.8,2.5,5.6,0.446,0.7,1.8,0.366,1.8,3.8,0.484,0.505,1.5,2.2,0.693,0.2,2.2,2.3,8,1.1,0.1,2.6,1.5,7.2,2,Sophomore,4,2251449.75,9005799.00,8000000.00,NCAA_D1
Lottery,14,John Henson,North Carolina,109,82,23.8,4.4,8.8,0.497,0,0.2,0.208,4.3,8.5,0.505,0.5,1.6,3.2,0.484,2.5,5.7,8.1,1,0.6,2.5,1.5,1.5,10.3,3,Junior,4,3183295.25,12733181.00,33000000.00,NCAA_D1
1st Round,15,Maurice Harkless,St. John's (NY),32,32,36.1,6,13.3,0.452,0.5,2.5,0.215,5.5,10.9,0.506,0.472,2.9,4.3,0.676,2.8,5.9,8.6,1.5,1.6,1.4,2.5,2.3,15.5,1,Freshman,4,2080000.00,8320000.00,55000000.00,NCAA_D1
1st Round,16,Royce White,Iowa State,35,33,31.1,5.1,9.5,0.535,0.1,0.3,0.333,5,9.2,0.542,0.541,2.9,5.9,0.498,2.5,6.7,9.1,4.9,1.2,1,3.7,2.5,13.2,2,Sophomore,2,1682460.00,3364920.00,3000000.00,NCAA_D1
1st Round,17,Tyler Zeller,North Carolina,117,75,23,4.7,8.6,0.543,0,0,0,4.7,8.6,0.544,0.543,3.5,4.5,0.775,2.7,4,6.7,0.6,0.7,1.1,1.4,2.3,12.8,4,Senior,4,1879324.00,5177295.00,60000000.00,NCAA_D1
1st Round,18,Terrence Jones,Kentucky,76,69,30.4,5,10.8,0.467,0.6,1.7,0.328,4.5,9.1,0.493,0.493,3.4,5.3,0.638,2.5,5.5,8,1.5,1.2,1.8,1.8,2.4,14,2,Sophomore,4,1786262.50,7145050.00,15000000.00,NCAA_D1
1st Round,19,Andrew Nicholson,St. Bonaventure,123,118,29.9,6.6,11.4,0.575,0.2,0.6,0.377,6.3,10.8,0.586,0.585,3.7,5.1,0.72,2.2,5,7.2,0.7,0.5,2,2.4,3,17.1,4,Senior,4,1706648.50,6826594.00,6000000.00,NCAA_D1
1st Round,20,Evan Fournier,Poitiers Basket 86 (France),,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown,4,1639061.00,6556244.00,195743246.00,International_Pro
1st Round,21,Jared Sullinger,Ohio State,74,72,31,6.1,11.5,0.53,0.3,0.7,0.365,5.8,10.8,0.541,0.541,4.9,6.7,0.733,3.3,6.4,9.7,1.2,1.1,0.8,1.8,2.7,17.3,2,Sophomore,4,1591605.00,6366420.00,13000000.00,NCAA_D1
1st Round,22,Fab Melo,Syracuse,63,54,17.3,2.1,3.6,0.576,0,0,2.1,3.6,0.576,0.576,0.7,1.3,0.553,1.6,2.2,3.8,0.5,0.4,1.8,1.1,2.3,4.9,,2,Sophomore,2,1282980.00,2565960.00,2000000.00,NCAA_D1
1st Round,23,John Jenkins,Vanderbilt,98,74,30.6,5.3,11.2,0.468,3.1,7.1,0.438,2.1,4.1,0.521,0.607,3.3,3.8,0.856,0.4,2.3,2.7,1.1,0.7,0.3,1.3,1.2,16.9,3,Junior,4,1501076.25,6004305.00,10000000.00,NCAA_D1
1st Round,24,Jared Cunningham,Oregon State,98,83,27.9,3.9,8.5,0.455,0.9,2.5,0.344,3,6,0.501,0.505,4.4,5.8,0.754,0.9,2.1,3,2,2.2,0.2,2.6,2.5,13,3,Junior,4,1457362.25,5829449.00,6000000.00,NCAA_D1
1st Round,25,Tony Wroten,Washington,35,27,30.3,5.7,12.8,0.443,0.3,1.6,0.161,5.4,11.2,0.483,0.453,4.4,7.5,0.583,2.3,2.7,5,3.7,1.9,0.4,3.8,2.7,16,1,Freshman,4,1403334.75,5613339.00,6000000.00,NCAA_D1
1st Round,26,Miles Plumlee,Duke,135,58,15.8,1.9,3.5,0.557,0,0,1,1.9,3.5,0.557,0.559,0.9,1.5,0.625,1.8,3,4.8,0.3,0.5,0.6,1,2.3,4.8,4,Senior,4,1368493.50,5473974.00,45000000.00,NCAA_D1
1st Round,27,Arnett Moultrie,Mississippi State,100,97,30.2,4.4,8.6,0.511,0.3,1,0.289,4.1,7.7,0.539,0.527,2.3,3.4,0.676,3,5.4,8.4,1,1,0.9,2.1,2.4,11.4,3,Junior,4,1329338.25,5317353.00,6000000.00,NCAA_D1
